<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DAIC.US,D,20250623,000000,28.61,75,28.61,36.5,134079,0
DAIC.US,D,20250624,000000,37.5,64,36.01,40.61,141835,0
DAIC.US,D,20250625,000000,40,40,30.52,30.975,57022,0
DAIC.US,D,20250626,000000,29,29.9205,15.1293,16.43,190380,0
DAIC.US,D,20250627,000000,14.3,15.038,8.57,8.67,405428,0
DAIC.US,D,20250630,000000,8.94,8.94,4.8,5.13,363578,0
DAIC.US,D,20250701,000000,5.14,5.14,4.16,4.61,2698082,0
DAIC.US,D,20250702,000000,8.62,14.3,7.81,8.19,44685675,0
DAIC.US,D,20250703,000000,7.61,7.7999,5.96,6.04,2231447,0
DAIC.US,D,20250707,000000,6.35,7.41,6.3,6.48,1560567,0
DAIC.US,D,20250708,000000,6.27,6.4767,5.6,5.94,680855,0
DAIC.US,D,20250709,000000,5.9,6.23,5.7,6,368869,0
DAIC.US,D,20250710,000000,6,6.75,5.93,6.1,481487,0
DAIC.US,D,20250711,000000,6.12,6.15,5.9,5.96,209575,0
DAIC.US,D,20250714,000000,5.85,5.8976,5.665,5.68,224648,0
DAIC.US,D,20250715,000000,5.6,5.65,5.155,5.39,293805,0
DAIC.US,D,20250716,000000,5.38,5.78,5.33,5.7,355778,0
DAIC.US,D,20250717,000000,5.74,5.77,5.46,5.77,152230,0
DAIC.US,D,20250718,000000,5.66,5.75,5.4,5.63,194834,0
DAIC.US,D,20250721,000000,5.54,5.7414,5.325,5.58,142094,0
