<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NVOX.US,D,20241205,000000,19.861,20.19,19.861,20.0498,5931,0
NVOX.US,D,20241206,000000,20.49,20.85,20.37,20.7332,7057,0
NVOX.US,D,20241209,000000,20.95,21.066,20.589,20.83,13296,0
NVOX.US,D,20241210,000000,20.8496,20.879,20.09,20.1185,4482,0
NVOX.US,D,20241211,000000,20.6,21.0869,20.599,21.0869,3244,0
NVOX.US,D,20241212,000000,20.749,20.749,19.8709,19.8709,10750,0
NVOX.US,D,20241213,000000,19.25,19.25,18.69,19.1762,3218,0
NVOX.US,D,20241216,000000,19.96,20.1355,19.595,19.6144,19885,0
NVOX.US,D,20241217,000000,19.88,19.88,19.6326,19.6326,15895,0
NVOX.US,D,20241218,000000,19.79,19.79,18.75,18.831,2551,0
NVOX.US,D,20241219,000000,18.0425,18.0425,17.85,17.9738,5321,0
NVOX.US,D,20241220,000000,11,12.06,10.34,11.5991,408097,0
NVOX.US,D,20241223,000000,12.56,12.6,11.83,12.59,189809,0
NVOX.US,D,20241224,000000,12.45,12.64,12.0706,12.1426,102490,0
NVOX.US,D,20241226,000000,12.08,12.32,12,12.2244,59180,0
NVOX.US,D,20241227,000000,12.28,12.499,12.03,12.11,34948,0
NVOX.US,D,20241230,000000,11.8308,11.855,11.64,11.6898,33708,0
NVOX.US,D,20241231,000000,11.58,11.72,11.5,11.719,31538,0
NVOX.US,D,20250102,000000,12.25,12.42,12.05,12.1184,15743,0
NVOX.US,D,20250103,000000,12.1308,12.279,12.1029,12.1437,37993,0
NVOX.US,D,20250106,000000,11.63,11.74,11.37,11.399,44563,0
NVOX.US,D,20250107,000000,11.16,11.299,10.7902,10.9197,64680,0
NVOX.US,D,20250108,000000,11.5,11.55,11.34,11.5493,24948,0
NVOX.US,D,20250110,000000,11.87,11.95,11.591,11.74,80047,0
NVOX.US,D,20250113,000000,11.148,11.259,11.0497,11.1946,12471,0
NVOX.US,D,20250114,000000,10.88,10.96,10.07,10.3528,35884,0
