<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RW.US,D,20250620,000000,24.86,27.33,24.8199,24.89,82548,0
RW.US,D,20250623,000000,25.09,25.3,24.95,25.2699,64943,0
RW.US,D,20250624,000000,25.95,25.95,25.3092,25.59,35974,0
RW.US,D,20250625,000000,25.81,26.7,25.38,25.4698,42946,0
RW.US,D,20250626,000000,25.51,25.74,25.41,25.5812,25349,0
RW.US,D,20250627,000000,25.9,25.9,25.5722,25.6887,20690,0
RW.US,D,20250630,000000,26,26.97,25.72,25.96,38627,0
RW.US,D,20250701,000000,26,26,25.57,25.7481,24190,0
RW.US,D,20250702,000000,25.69,25.69,25.5317,25.6295,16426,0
RW.US,D,20250703,000000,25.6666,26.15,25.6666,25.8388,18354,0
RW.US,D,20250707,000000,26,26,25.8187,25.8542,19552,0
RW.US,D,20250708,000000,26,26,25.65,25.6683,10732,0
RW.US,D,20250709,000000,25.7,26,25.7,25.8978,16094,0
RW.US,D,20250710,000000,25.92,26,25.75,25.9322,26606,0
RW.US,D,20250711,000000,25.7701,26.05,25.7701,25.8625,16813,0
RW.US,D,20250714,000000,25.9,25.98,25.71,25.9661,37759,0
RW.US,D,20250715,000000,26.5,26.5,25.72,25.72,21764,0
RW.US,D,20250716,000000,25.79,25.895,25.7,25.895,5152,0
RW.US,D,20250717,000000,26.151,26.36,26.151,26.335,23681,0
RW.US,D,20250718,000000,26.49,26.74,26.35,26.3699,24354,0
RW.US,D,20250721,000000,26.5,26.63,26.44,26.44,20167,0
