<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TGE.US,D,20250605,000000,19.47,37.0191,9.8,10.04,1325954,0
TGE.US,D,20250606,000000,12.1,15,10.75,12,2840640,0
TGE.US,D,20250609,000000,12.6,12.99,11.18,12.05,555846,0
TGE.US,D,20250610,000000,11,12.05,10.02,11.44,337586,0
TGE.US,D,20250611,000000,11.01,11.43,10.7,11,166342,0
TGE.US,D,20250612,000000,10.45,10.5,9.12,9.46,277058,0
TGE.US,D,20250613,000000,8.3,9,7.255,7.57,356455,0
TGE.US,D,20250616,000000,8.01,8.01,6.1,6.11,237654,0
TGE.US,D,20250617,000000,5.62,10.33,5.6001,9.12,1478515,0
TGE.US,D,20250618,000000,9,9.7104,7.21,8.53,414565,0
TGE.US,D,20250620,000000,8.666,9.241,8.015,8.4,123337,0
TGE.US,D,20250623,000000,8.5083,8.5083,7.5002,7.79,83127,0
TGE.US,D,20250624,000000,7.65,7.85,7.252177,7.35,84230,0
TGE.US,D,20250625,000000,7.4,7.89,6.55,7.31,148880,0
TGE.US,D,20250626,000000,7.2556,8.25,6.9029,8.18,216261,0
TGE.US,D,20250627,000000,7.44,9.2,7.0603,8.22,129565,0
TGE.US,D,20250630,000000,8.4127,8.51,7.7724,7.91,64202,0
TGE.US,D,20250701,000000,7.929,8.03,7,7.5,60190,0
TGE.US,D,20250702,000000,7.22,7.5,6.61,7.24,629554,0
TGE.US,D,20250703,000000,6.98,7.29,6.35,6.89,130761,0
TGE.US,D,20250707,000000,7.1,7.4,6.5015,6.89,77957,0
TGE.US,D,20250708,000000,6.5001,7.1675,6.5,6.52,77647,0
TGE.US,D,20250709,000000,6.52,7.05,6.5,6.83,80388,0
TGE.US,D,20250710,000000,6.805,6.9608,5.8001,6.28,143823,0
TGE.US,D,20250711,000000,6.036,6.79,6.036,6.5,126823,0
TGE.US,D,20250714,000000,6.25,6.54,6.1122,6.48,46220,0
TGE.US,D,20250715,000000,6.45,6.52,6.09,6.11,45633,0
TGE.US,D,20250716,000000,6.11,6.22,5.78,6.05,62937,0
TGE.US,D,20250717,000000,5.8282,6.2,5.8282,5.96,33866,0
TGE.US,D,20250718,000000,5.9089,6.05,5.71,6,41680,0
TGE.US,D,20250721,000000,6.06,6.37,5.7,5.91,41955,0
