<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IONZ.US,D,20250624,000000,19.24,20.3216,19.14,20.3216,2124,0
IONZ.US,D,20250625,000000,19.35,22.9519,19.35,22.9519,31989,0
IONZ.US,D,20250626,000000,21.64,21.64,18.7,19.4651,152348,0
IONZ.US,D,20250627,000000,19.34,21.25,18.81,20.1725,53111,0
IONZ.US,D,20250630,000000,18.95,19.25,16.37,17.37,553310,0
IONZ.US,D,20250701,000000,17.86,20.02,17.68,19.6803,168541,0
IONZ.US,D,20250702,000000,18.81,19.13,15.0111,15.19,535584,0
IONZ.US,D,20250703,000000,15.53,16.17,14.67,15.42,216978,0
IONZ.US,D,20250707,000000,13.57,16.3,13.35,14.88,270183,0
IONZ.US,D,20250708,000000,14.01,15.14,13.18,14.87,286734,0
IONZ.US,D,20250709,000000,14.48,15.3,13.5001,14.54,222781,0
IONZ.US,D,20250710,000000,14.75,15.23,14.1,14.29,156736,0
IONZ.US,D,20250711,000000,14.94,16.88,14.6,16.8531,169443,0
IONZ.US,D,20250714,000000,16.44,17.23,16.14,16.34,200363,0
IONZ.US,D,20250715,000000,16.3,17.39,15.86,17.16,116114,0
IONZ.US,D,20250716,000000,16.58,17.61,15.385,15.4297,417966,0
IONZ.US,D,20250717,000000,15.41,15.66,14.5,14.5244,258405,0
IONZ.US,D,20250718,000000,14.5,15,12.71,13.4509,660325,0
IONZ.US,D,20250721,000000,13.15,14.63,12.74,14.63,610386,0
