<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
YB.US,D,20250430,000000,21.66,28.99,15.66,15.96,1101370,0
YB.US,D,20250501,000000,15.2,15.85,15,15,220575,0
YB.US,D,20250502,000000,15.2995,15.4,15.02,15.11,58156,0
YB.US,D,20250505,000000,15,15.18,15,15.01,101167,0
YB.US,D,20250506,000000,15,15.02,14.1,14.895,150786,0
YB.US,D,20250507,000000,14.61,15.0858,14.51,14.98,28560,0
YB.US,D,20250508,000000,14.89,15.2412,14.2279,14.77,79579,0
YB.US,D,20250509,000000,14.9497,14.975,14.42,14.56,40239,0
YB.US,D,20250512,000000,14.628,14.84,14.04,14.82,35733,0
YB.US,D,20250513,000000,14.82,14.82,14.169,14.22,28626,0
YB.US,D,20250514,000000,14.58,15.3,14.25,14.81,27390,0
YB.US,D,20250515,000000,14.95,14.98,14.5256,14.66,7630,0
YB.US,D,20250516,000000,14.725,15.19,14.2,14.97,27978,0
YB.US,D,20250519,000000,14.98,15.29,14.6,15,49542,0
YB.US,D,20250520,000000,14.7,14.9,14.69,14.89,28299,0
YB.US,D,20250521,000000,14.7,15.49,14.52,14.75,34330,0
YB.US,D,20250522,000000,14.695,14.79,14.4034,14.61,13922,0
YB.US,D,20250523,000000,14.42,15,14.38,14.99,35372,0
YB.US,D,20250527,000000,14.74,15,14.4611,14.69,18364,0
YB.US,D,20250528,000000,14.89,15.48,14.51,14.51,33934,0
YB.US,D,20250529,000000,14.7,15.2779,14.7,15.27,40764,0
YB.US,D,20250530,000000,14.9031,15.1,14.8,15.1,40490,0
YB.US,D,20250602,000000,14.85,15.16,14.784,15.14,40744,0
YB.US,D,20250603,000000,15,15.2,14.91,15.2,51794,0
YB.US,D,20250604,000000,15.19,15.45,15.09,15.45,76181,0
YB.US,D,20250605,000000,16.235,16.235,14.49,15.1,157240,0
YB.US,D,20250606,000000,14.92,15.25,14.92,15.17,99533,0
YB.US,D,20250609,000000,15.33,16.9,14.975,16.78,143153,0
YB.US,D,20250610,000000,15.7,16.22,15.7,15.99,129420,0
YB.US,D,20250611,000000,15.52,15.9,15.5,15.75,146070,0
YB.US,D,20250612,000000,15.81,18.5,15.69,18.22,371466,0
YB.US,D,20250613,000000,18,18.16,17.25,17.95,202475,0
YB.US,D,20250616,000000,18.49,20,18.49,19.85,126195,0
YB.US,D,20250617,000000,20,22,19.98,21.34,239095,0
YB.US,D,20250618,000000,21.5,22,19.5168,21.72,321203,0
YB.US,D,20250620,000000,21.86,21.9,20,20.42,165062,0
YB.US,D,20250623,000000,20.15,21.39,20.15,21.09,97653,0
YB.US,D,20250624,000000,21,21.5,20.5267,21,129874,0
YB.US,D,20250625,000000,21.12,21.58,20.9,20.99,196914,0
YB.US,D,20250626,000000,21.39,21.42,20.985,21.24,199052,0
YB.US,D,20250627,000000,21.2,22.3,20.4274,21.92,162408,0
YB.US,D,20250630,000000,22.2,22.81,20.819,21.02,139003,0
YB.US,D,20250701,000000,21.03,21.13,20.865,21.01,88290,0
YB.US,D,20250702,000000,20.68,21.07,20.61,20.85,32357,0
YB.US,D,20250703,000000,21.07,22.255,21.07,22.22,110213,0
YB.US,D,20250707,000000,22,24.69,21.65,23,341687,0
YB.US,D,20250708,000000,23.85,27.8897,23.56,27.06,376888,0
YB.US,D,20250709,000000,27.12,30.87,25.995,30.85,270433,0
YB.US,D,20250710,000000,29.81,31,28.01,29.67,172908,0
YB.US,D,20250711,000000,29.36,29.67,28.06,28.59,42466,0
YB.US,D,20250714,000000,28.3,30.8899,28.1,30.16,91855,0
YB.US,D,20250715,000000,30.31,30.35,27,27.3,129197,0
YB.US,D,20250716,000000,27.9962,28.67,24.9,24.95,162471,0
YB.US,D,20250717,000000,25,26.755,24.99,26.45,46281,0
YB.US,D,20250718,000000,27.01,28.31,27,27.47,54942,0
YB.US,D,20250721,000000,27.47,27.47,25.75,26.11,35957,0
