<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GSKH.US,60,20250110,170000,50.07,50.07,50.07,50.07,100,0
GSKH.US,60,20250113,220000,49.48,49.48,49.48,49.48,100,0
GSKH.US,60,20250114,160000,48.85,48.85,48.85,48.85,100,0
GSKH.US,60,20250121,200000,50.23,50.23,50.2,50.2,500,0
GSKH.US,60,20250122,190000,50.41,50.42,50.41,50.42,400,0
GSKH.US,60,20250122,220000,50.08,50.08,50.08,50.08,100,0
GSKH.US,60,20250129,190000,52.17,52.17,52.17,52.17,100,0
GSKH.US,60,20250131,160000,51.72,52.17,51.72,52.17,400,0
GSKH.US,60,20250131,170000,52.19,52.19,52.19,52.19,100,0
GSKH.US,60,20250131,200000,52.3,52.3,52.3,52.3,100,0
GSKH.US,60,20250204,190000,51.36,51.36,51.36,51.36,100,0
GSKH.US,60,20250204,200000,51.27,51.27,51.27,51.27,100,0
GSKH.US,60,20250205,160000,54.74,54.74,54.74,54.74,100,0
GSKH.US,60,20250206,170000,55.41,55.41,55.41,55.41,100,0
GSKH.US,60,20250206,190000,54.56,54.56,54.56,54.56,100,0
GSKH.US,60,20250207,170000,53.51,53.51,53.51,53.51,300,0
GSKH.US,60,20250210,220000,54.184,54.184,54.184,54.184,100,0
GSKH.US,60,20250211,170000,53.48,53.48,53.48,53.48,100,0
GSKH.US,60,20250211,190000,53.35,53.35,53.35,53.35,100,0
GSKH.US,60,20250212,160000,53.11,53.11,53.11,53.11,100,0
GSKH.US,60,20250212,170000,53.01,53.04,52.99,53.04,7400,0
GSKH.US,60,20250218,220000,53.43,53.43,53.43,53.43,100,0
GSKH.US,60,20250219,160000,53.33,53.33,53.33,53.33,100,0
GSKH.US,60,20250220,170000,53.92,53.92,53.92,53.92,100,0
GSKH.US,60,20250220,220000,53.7,53.7,53.7,53.7,900,0
GSKH.US,60,20250221,190000,53.54,53.54,53.54,53.54,100,0
GSKH.US,60,20250221,200000,53.64,53.64,53.64,53.64,100,0
GSKH.US,60,20250224,170000,54.43,54.52,54.43,54.52,200,0
GSKH.US,60,20250225,180000,55.8,55.8,55.8,55.8,100,0
GSKH.US,60,20250225,210000,56.12,56.12,56.12,56.12,1000,0
GSKH.US,60,20250226,170000,55.13,55.13,55.13,55.13,100,0
