<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TFNS.US,60,20250612,160000,24.87,24.87,24.85,24.85,200,0
TFNS.US,60,20250612,180000,24.95,24.95,24.95,24.95,1996,0
TFNS.US,60,20250612,210000,24.9685,24.9685,24.9685,24.9685,500,0
TFNS.US,60,20250616,190000,24.9,24.9,24.9,24.9,100,0
TFNS.US,60,20250616,220000,24.77,24.77,24.77,24.77,800,0
TFNS.US,60,20250617,170000,24.68,24.68,24.68,24.68,100,0
TFNS.US,60,20250618,210000,24.54,24.65,24.54,24.65,6912,0
TFNS.US,60,20250620,220000,24.59,24.59,24.59,24.59,6590,0
TFNS.US,60,20250624,170000,25.205,25.205,25.205,25.205,2000,0
TFNS.US,60,20250624,180000,25.23,25.23,25.23,25.23,500,0
TFNS.US,60,20250625,190000,25.18,25.18,25.18,25.18,198,0
TFNS.US,60,20250625,210000,25.1554,25.17,25.1554,25.17,200,0
TFNS.US,60,20250626,220000,25.37,25.37,25.37,25.37,1507,0
TFNS.US,60,20250630,160000,25.615,25.615,25.615,25.615,1000,0
TFNS.US,60,20250701,170000,25.64,25.69,25.64,25.69,200,0
TFNS.US,60,20250701,210000,25.92,25.92,25.92,25.92,100,0
TFNS.US,60,20250702,170000,25.77,25.82,25.77,25.82,2100,0
TFNS.US,60,20250702,180000,25.79,25.79,25.79,25.79,100,0
TFNS.US,60,20250702,220000,25.83,25.84,25.83,25.84,200,0
TFNS.US,60,20250703,160000,26.02,26.02,26.02,26.02,1615,0
TFNS.US,60,20250703,170000,26.1,26.15,26.1,26.15,484,0
TFNS.US,60,20250707,160000,26.18,26.18,26.149,26.149,741,0
TFNS.US,60,20250707,170000,26.114,26.1195,26.05,26.05,785,0
TFNS.US,60,20250707,190000,25.855,25.89,25.855,25.89,200,0
TFNS.US,60,20250707,200000,25.8803,25.8803,25.8803,25.8803,1775,0
TFNS.US,60,20250707,210000,25.85,25.85,25.85,25.85,100,0
TFNS.US,60,20250708,160000,25.85,25.85,25.85,25.85,100,0
TFNS.US,60,20250708,170000,25.8,25.8,25.79,25.79,1647,0
TFNS.US,60,20250708,190000,25.7947,25.7947,25.7947,25.7947,100,0
TFNS.US,60,20250708,220000,25.74,25.74,25.73,25.73,402,0
TFNS.US,60,20250709,170000,25.77,25.78,25.77,25.77,915,0
TFNS.US,60,20250709,180000,25.7391,25.7391,25.7391,25.7391,582,0
TFNS.US,60,20250709,220000,25.75,25.75,25.75,25.75,2000,0
TFNS.US,60,20250710,200000,25.9,25.9,25.9,25.9,2000,0
TFNS.US,60,20250710,210000,25.87,25.87,25.87,25.87,100,0
TFNS.US,60,20250710,220000,25.89,25.91,25.8774,25.91,6476,0
TFNS.US,60,20250711,180000,25.66,25.66,25.66,25.66,100,0
TFNS.US,60,20250711,200000,25.61,25.61,25.61,25.61,100,0
TFNS.US,60,20250711,210000,25.67,25.67,25.67,25.67,195,0
TFNS.US,60,20250714,170000,25.689,25.75,25.689,25.75,225,0
TFNS.US,60,20250714,180000,25.7498,25.78,25.73,25.78,419,0
TFNS.US,60,20250714,190000,25.79,25.82,25.78,25.78,3626,0
TFNS.US,60,20250714,200000,25.78,25.79,25.78,25.79,507,0
TFNS.US,60,20250715,170000,25.6,25.6,25.55,25.55,454,0
TFNS.US,60,20250715,180000,25.52,25.57,25.52,25.57,773,0
TFNS.US,60,20250715,190000,25.54,25.54,25.54,25.54,529,0
TFNS.US,60,20250715,200000,25.54,25.54,25.46,25.46,519,0
TFNS.US,60,20250715,210000,25.46,25.49,25.46,25.49,1059,0
TFNS.US,60,20250715,220000,25.48,25.48,25.48,25.48,100,0
TFNS.US,60,20250716,180000,25.25,25.25,25.25,25.25,300,0
TFNS.US,60,20250716,210000,25.47,25.5,25.47,25.5,1090,0
TFNS.US,60,20250716,220000,25.56,25.56,25.56,25.56,827,0
TFNS.US,60,20250717,160000,25.64,25.64,25.64,25.64,200,0
TFNS.US,60,20250717,190000,25.7,25.7,25.65,25.65,200,0
TFNS.US,60,20250717,220000,25.8,25.82,25.8,25.82,800,0
TFNS.US,60,20250718,170000,25.799,25.799,25.799,25.799,556,0
TFNS.US,60,20250721,190000,25.84,26.02,25.84,26.02,200,0
TFNS.US,60,20250721,210000,25.95,25.95,25.92,25.92,200,0
TFNS.US,60,20250721,220000,25.85,25.85,25.85,25.85,100,0
