<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TPLS.US,60,20250206,160000,25.1328,25.1328,25.1328,25.1328,994,0
TPLS.US,60,20250210,220000,25.08,25.08,25.08,25.08,100,0
TPLS.US,60,20250211,210000,24.99,24.99,24.985,24.985,895,0
TPLS.US,60,20250211,220000,24.985,24.985,24.985,24.985,100,0
TPLS.US,60,20250214,210000,25.14,25.14,25.125,25.125,400,0
TPLS.US,60,20250219,170000,25,25.013,25,25.01,1000,0
TPLS.US,60,20250219,180000,25.01,25.013,25,25,1424,0
TPLS.US,60,20250221,210000,25.205,25.21,25.205,25.2054,4932,0
TPLS.US,60,20250221,220000,25.2184,25.219,25.21,25.21,2177,0
TPLS.US,60,20250224,190000,25.23,25.24,25.23,25.24,200,0
TPLS.US,60,20250224,210000,25.22,25.25,25.22,25.25,1100,0
TPLS.US,60,20250224,220000,25.26,25.27,25.26,25.27,300,0
TPLS.US,60,20250225,180000,25.38,25.38,25.38,25.38,100,0
TPLS.US,60,20250226,160000,25.49,25.49,25.49,25.49,1760,0
TPLS.US,60,20250227,180000,25.31,25.31,25.31,25.31,200,0
TPLS.US,60,20250227,200000,25.3,25.3,25.3,25.3,200,0
TPLS.US,60,20250227,210000,25.3,25.32,25.3,25.32,3921,0
TPLS.US,60,20250227,220000,25.3,25.33,25.3,25.3,84357,0
TPLS.US,60,20250228,180000,25.38,25.3899,25.38,25.3808,1000,0
TPLS.US,60,20250303,220000,25.41,25.5,25.41,25.5,384,0
TPLS.US,60,20250304,190000,25.48,25.48,25.48,25.48,178,0
TPLS.US,60,20250305,210000,25.45,25.52,25.3233,25.35,3639,0
TPLS.US,60,20250307,200000,25.32,25.32,25.3,25.3,2059,0
TPLS.US,60,20250307,210000,25.3,25.3,25.3,25.3,2000,0
TPLS.US,60,20250310,150000,25.4,25.4,25.39,25.39,200,0
TPLS.US,60,20250310,160000,25.45,25.45,25.45,25.45,100,0
TPLS.US,60,20250310,170000,25.43,25.43,25.43,25.43,563,0
TPLS.US,60,20250310,200000,25.43,25.44,25.43,25.44,500,0
TPLS.US,60,20250310,210000,25.45,25.46,25.439,25.44,800,0
TPLS.US,60,20250311,170000,25.3536,25.3536,25.342,25.342,2148,0
TPLS.US,60,20250311,210000,25.33,25.35,25.33,25.35,1068,0
TPLS.US,60,20250312,170000,25.29,25.29,25.29,25.29,465,0
TPLS.US,60,20250313,180000,25.24,25.24,25.24,25.24,100,0
TPLS.US,60,20250314,160000,25.3,25.3,25.3,25.3,389,0
TPLS.US,60,20250314,170000,25.3,25.3,25.3,25.3,300,0
TPLS.US,60,20250314,180000,25.3009,25.3009,25.3009,25.3009,385,0
TPLS.US,60,20250317,200000,25.33,25.34,25.3273,25.3273,1264,0
TPLS.US,60,20250318,210000,25.3281,25.3605,25.3281,25.3605,705,0
TPLS.US,60,20250319,150000,25.335,25.335,25.335,25.335,233,0
TPLS.US,60,20250319,200000,25.35,25.35,25.35,25.35,100,0
TPLS.US,60,20250320,190000,25.44,25.449,25.435,25.435,558,0
TPLS.US,60,20250321,210000,25.4415,25.449,25.4,25.4,391,0
TPLS.US,60,20250325,170000,25.3499,25.3499,25.3499,25.3499,540,0
TPLS.US,60,20250325,180000,25.34,25.34,25.34,25.34,761,0
TPLS.US,60,20250326,190000,25.26,25.26,25.26,25.26,394,0
TPLS.US,60,20250327,210000,25.2272,25.2272,25.2272,25.2272,665,0
TPLS.US,60,20250328,170000,25.23,25.23,25.23,25.23,288,0
TPLS.US,60,20250328,210000,25.27,25.27,25.27,25.27,101,0
TPLS.US,60,20250401,180000,25.41,25.41,25.41,25.41,106,0
TPLS.US,60,20250402,220000,25.37,25.37,25.37,25.37,287,0
TPLS.US,60,20250403,180000,25.5207,25.9,25.52,25.58,78775,0
TPLS.US,60,20250403,190000,25.53,25.61,25.53,25.58,92322,0
TPLS.US,60,20250403,210000,25.575,25.575,25.57,25.57,300,0
TPLS.US,60,20250404,170000,25.62,25.64,25.6163,25.64,752,0
TPLS.US,60,20250404,180000,25.7,25.7,25.66,25.66,218,0
TPLS.US,60,20250404,200000,25.67,25.67,25.67,25.67,100,0
TPLS.US,60,20250407,170000,25.4,25.4,25.3862,25.3862,2200,0
TPLS.US,60,20250407,200000,25.35,25.35,25.35,25.35,100,0
TPLS.US,60,20250407,220000,25.3358,25.34,25.31,25.325,861,0
TPLS.US,60,20250408,170000,25.17,25.215,25.159,25.215,300,0
TPLS.US,60,20250408,200000,25.22,25.22,25.17,25.17,1200,0
TPLS.US,60,20250408,210000,25.12,25.13,25.12,25.13,2107,0
TPLS.US,60,20250408,220000,25.125,25.13,25.05,25.05,500,0
TPLS.US,60,20250409,170000,24.85,24.875,24.85,24.875,425,0
TPLS.US,60,20250409,180000,24.83,24.83,24.83,24.83,100,0
TPLS.US,60,20250409,200000,24.85,24.85,24.85,24.85,100,0
TPLS.US,60,20250409,210000,24.93,24.97,24.93,24.96,400,0
TPLS.US,60,20250409,220000,24.981,24.99,24.88,24.99,14642,0
TPLS.US,60,20250410,180000,24.97,24.97,24.97,24.97,100,0
TPLS.US,60,20250410,210000,24.8899,24.8899,24.8828,24.8828,1914,0
TPLS.US,60,20250410,220000,24.875,24.875,24.865,24.865,200,0
TPLS.US,60,20250411,170000,24.68,24.68,24.68,24.68,100,0
